Sex,Marital status,Age,Education,Income,Occupation,Settlement size
0,0,67,2,124670,1,2
1,1,22,1,150773,1,2
0,0,53,1,149031,1,1
0,0,35,1,144848,0,0
0,0,53,1,156495,1,1
0,1,61,2,151591,0,0
1,1,24,1,127596,1,0
0,0,53,1,125550,1,0
0,0,25,0,157434,1,2
0,0,31,0,144657,1,1
0,0,48,1,118777,1,1
0,0,44,1,147511,1,1
0,0,44,1,134918,1,2
1,1,42,2,163025,1,1
0,0,34,1,119307,1,1
0,1,36,1,159646,1,1
0,0,27,0,120131,1,1
0,0,30,0,162745,1,2
1,1,33,1,155569,2,1
0,0,31,0,143385,1,2
0,0,37,1,127676,1,1
0,0,37,1,119276,1,1
0,0,30,0,163329,2,1
0,1,26,1,130921,1,0
0,0,44,1,133658,0,0
0,1,24,1,155104,1,1
1,1,58,2,142335,0,1
1,1,35,1,138387,2,1
0,0,39,1,140182,1,0
0,0,39,1,130500,0,0
1,1,28,1,122831,1,0
0,0,31,0,117158,1,0
0,0,57,2,135830,1,1
1,1,23,1,152267,2,1
1,1,23,1,115240,0,0
0,0,50,1,123641,1,1
1,1,26,1,118372,1,1
0,0,48,1,148115,1,1
1,1,29,1,111069,1,0
0,1,22,1,139780,1,0
0,0,51,1,141858,2,2
1,1,41,2,135959,0,0
0,0,40,1,140888,2,2
0,0,66,2,157299,2,2
0,0,34,1,125187,1,1
0,0,51,1,155486,1,2
0,0,39,1,151697,0,0
0,1,22,1,126400,1,1
1,1,44,2,159246,1,2
0,0,47,1,136138,1,1
1,1,29,1,133783,2,1
0,0,30,0,149022,2,2
0,0,54,1,116604,1,1
0,0,20,0,128678,1,1
1,1,61,2,135070,1,1
0,0,34,1,134794,1,2
0,0,36,1,120153,1,1
0,0,35,1,115343,1,1
0,0,32,0,152876,1,2
0,1,35,1,140520,1,0
0,1,31,1,124203,1,1
0,0,28,0,121432,0,2
1,1,25,1,162445,1,0
0,1,35,1,134112,1,1
0,0,47,1,131842,1,1
1,1,23,1,153539,1,1
0,0,63,2,135754,1,0
1,1,27,1,116103,1,2
0,0,34,1,143979,2,2
1,1,29,1,123818,1,0
0,0,29,0,149249,1,2
0,0,47,1,116540,1,1
0,0,66,2,126003,0,0
0,0,35,1,123109,1,1
0,0,27,0,144332,2,2
0,0,30,0,140665,1,1
1,1,51,2,127825,1,0
0,0,28,0,133898,1,1
0,0,46,1,152383,1,2
0,0,42,1,119926,1,0
0,0,24,0,153286,1,1
0,0,48,1,124156,1,1
0,0,38,1,146529,1,2
0,0,36,1,129789,1,1
0,0,36,1,127833,1,2
0,0,36,1,124445,1,2
0,0,32,0,141116,1,1
1,1,20,1,147687,1,2
1,1,25,1,125168,1,1
0,1,31,1,115369,1,2
1,1,34,1,153031,2,2
0,0,26,0,113515,1,1
0,1,42,2,121307,1,0
0,0,52,1,131727,1,2
0,0,31,0,133574,2,1
0,0,65,2,117334,1,0
1,1,33,1,133561,1,1
0,0,34,1,116525,0,0
0,0,36,1,135302,1,2
0,0,21,0,128350,1,2
1,1,34,1,147626,2,2
1,1,27,1,120262,1,0
0,0,36,1,124214,1,2
0,0,52,1,137467,1,0
0,0,26,0,129864,1,1
0,0,43,1,112878,1,0
0,1,21,1,112868,0,0
0,0,55,1,157940,1,2
0,0,33,1,115835,1,2
0,0,50,1,150699,1,1
0,0,51,1,132767,1,0
0,0,31,0,114528,1,2
0,0,23,0,133912,1,1
1,1,64,3,131242,1,0
0,0,32,0,114116,1,1
0,0,30,0,128639,1,1
0,0,26,0,139157,1,2
0,0,51,1,121751,0,0
0,0,35,1,121974,1,0
0,0,30,0,131433,2,0
0,1,61,2,130788,0,0
0,0,39,1,115323,1,1
0,0,51,1,115996,1,1
0,0,24,0,123353,1,1
1,1,35,1,125105,0,0
0,0,35,1,112979,1,0
0,0,26,0,117221,1,1
1,1,39,2,115099,0,0
1,1,46,2,113399,0,0
1,1,24,1,115879,1,1
0,0,35,1,141270,1,2
0,0,27,0,131751,0,0
1,1,23,1,135537,1,1
1,1,55,2,126357,1,2
0,0,36,1,149237,1,0
1,1,38,1,112124,1,0
0,0,32,0,111082,1,2
1,1,37,1,137069,1,1
0,0,28,0,120712,1,1
0,0,32,0,111418,1,1
1,1,26,1,110913,1,0
1,1,32,1,136886,1,2
0,0,29,0,144884,2,2
0,0,23,0,151180,1,1
0,0,50,1,114997,1,1
0,0,63,2,124849,1,2
0,1,37,1,152308,1,2
0,0,26,0,126706,1,2
1,1,49,2,125665,1,1
0,1,48,2,111184,1,1
1,1,20,1,127928,1,2
0,0,43,1,118446,1,1
0,0,32,0,161379,1,2
1,1,42,2,146117,1,1
0,1,33,1,144701,1,1
0,0,25,0,146349,1,0
1,1,26,1,141825,1,1
0,0,31,0,111091,1,2
1,1,48,2,126154,0,0
0,0,34,1,145059,2,0
0,0,28,0,148363,1,0
0,0,49,1,154778,1,2
1,1,34,1,149356,1,2
