Sex,Marital status,Age,Education,Income,Occupation,Settlement size
0,0,49,1,89210,0,0
1,1,25,1,108469,1,0
1,1,22,1,108687,1,2
0,0,60,2,89374,0,0
1,1,28,1,102899,1,1
1,1,32,1,88428,0,0
0,0,48,1,89804,0,0
0,1,26,1,103667,1,2
0,0,36,1,71909,0,0
0,1,39,1,68264,0,0
0,0,57,2,87605,0,0
0,0,25,0,104505,0,0
0,0,24,0,92542,1,1
1,1,23,1,65421,0,0
0,0,29,0,84531,0,0
0,0,25,0,92058,1,2
0,0,26,0,58258,0,0
0,1,27,1,106955,1,2
0,0,37,1,106978,1,2
1,1,25,1,110019,1,2
0,0,46,1,73703,0,0
1,1,24,1,84792,0,0
1,1,58,2,100210,0,0
0,0,52,1,93706,0,0
1,1,27,1,110064,1,2
0,0,28,0,92973,1,2
0,0,56,1,110605,1,1
1,1,33,1,71070,0,0
0,1,41,1,93372,0,0
0,0,24,0,110446,1,0
1,1,24,1,95186,1,1
0,1,26,1,107276,1,1
1,1,23,1,107205,1,1
1,1,27,1,109099,1,2
1,1,25,1,104653,1,2
0,0,24,0,66118,0,0
0,0,30,0,104293,1,1
0,1,40,1,71702,0,0
0,0,30,0,99066,1,2
0,0,27,0,77535,0,0
1,1,38,1,109311,1,2
1,1,44,2,108251,0,0
0,1,27,1,89908,0,0
0,0,22,0,101185,1,1
1,1,23,1,107406,1,2
1,1,39,2,106461,1,0
0,0,38,1,108784,1,2
1,1,20,1,95355,1,1
0,1,45,2,72215,0,0
0,0,34,1,75343,0,0
1,1,30,1,101153,1,1
1,1,33,1,104276,1,2
0,0,33,1,95445,1,0
1,1,26,1,95159,1,1
0,0,33,1,108899,1,0
0,0,40,1,77720,0,0
0,0,36,1,106205,1,1
0,0,31,0,97785,1,1
0,0,68,2,74525,0,0
0,1,20,1,98988,1,0
0,1,29,1,106434,1,1
1,1,28,1,102697,1,0
0,1,27,1,65815,0,0
0,1,21,1,88475,1,1
0,0,38,1,74666,0,0
0,0,26,0,103411,1,2
1,1,45,2,109807,0,0
1,1,39,2,86152,0,0
0,1,24,1,81210,0,0
0,1,26,1,68804,0,0
1,1,23,1,96961,1,1
0,0,30,0,90719,1,2
0,0,27,0,106623,1,1
0,0,22,0,91739,1,1
0,0,22,0,107780,1,2
0,1,25,1,70320,0,0
0,0,42,1,78327,0,0
1,1,35,1,107408,1,1
1,1,29,1,99012,1,0
1,1,27,1,100008,1,0
0,0,25,0,92020,1,2
0,0,52,1,108365,1,2
1,1,22,1,88800,1,2
0,0,24,0,107633,1,1
0,0,35,1,83687,0,0
0,1,29,1,106828,1,2
1,1,57,2,107142,0,0
0,0,27,0,97446,1,1
1,1,57,2,108945,0,0
0,0,32,0,67345,0,0
0,0,37,1,106215,1,0
0,0,25,0,89534,1,1
0,1,49,2,84267,0,0
0,0,49,1,100961,0,0
0,1,26,1,94134,1,0
0,0,45,1,78253,0,0
1,1,54,2,56622,0,0
0,0,37,1,90418,0,0
0,0,49,1,109053,1,0
1,1,24,1,102425,0,0
0,1,33,1,79867,0,0
1,1,24,1,107114,1,2
0,1,22,1,62263,0,0
0,0,40,1,92567,0,0
0,1,25,1,68582,0,0
0,0,29,0,85476,0,0
0,0,38,1,67110,0,0
0,0,32,0,92257,1,2
1,1,27,1,93605,0,0
0,1,32,1,107195,1,0
1,1,36,1,105681,1,2
0,0,39,1,93732,0,0
0,0,28,0,101589,1,2
1,1,23,1,84611,0,0
1,1,24,1,98479,1,2
0,1,31,1,81394,0,0
1,1,26,1,92385,0,0
1,1,43,2,85402,0,0
0,0,23,0,95815,1,2
1,1,23,1,97518,0,0
0,0,34,1,87355,0,0
1,1,23,1,97307,1,0
1,1,29,1,108434,1,2
0,0,23,0,69309,0,0
0,1,28,1,92849,1,0
1,1,23,1,108539,1,2
0,1,21,1,96769,1,2
0,0,25,0,43684,0,0
0,0,36,1,103521,1,0
1,1,23,1,106043,1,0
0,0,36,1,96840,1,1
1,1,52,2,95551,0,0
1,1,25,1,99354,1,0
0,0,26,0,105252,0,0
1,1,25,1,108522,1,0
1,1,21,1,94655,1,1
1,1,27,1,102543,1,1
1,1,31,1,110610,1,2
0,1,39,1,108315,1,2
0,0,27,0,59238,0,0
0,1,22,1,109188,1,0
0,1,27,1,94711,1,2
0,0,40,1,104240,0,0
1,1,35,1,108272,1,1
0,0,33,1,81083,0,0
0,0,47,1,85690,0,0
0,0,29,0,109467,1,0
0,0,20,0,88559,1,1
1,1,55,2,62393,0,0
0,1,33,1,109145,1,0
0,0,25,0,100449,1,2
0,1,25,1,106253,1,0
0,1,23,1,84747,0,0
0,0,65,2,84435,0,0
1,1,26,1,51681,0,0
1,1,30,1,106577,1,1
0,0,41,1,69609,0,0
1,1,41,2,81743,0,0
1,1,29,1,95200,1,1
1,1,27,1,91925,1,2
0,0,36,1,105240,1,1
0,0,38,1,106552,1,2
0,0,34,1,105843,1,2
1,1,29,1,76154,0,0
0,0,35,1,102839,0,0
1,1,23,1,89742,1,2
0,0,28,0,58615,0,0
0,1,33,1,110340,1,0
0,0,39,1,93567,0,0
0,0,44,1,109289,1,1
1,1,23,1,98742,0,0
0,0,26,0,101270,1,0
0,0,35,1,85033,0,0
0,0,26,0,99307,1,1
0,0,38,1,102846,1,0
0,0,39,1,81483,0,0
0,1,20,1,107779,1,2
0,0,40,1,107125,1,0
0,1,32,1,80080,0,0
1,1,24,1,97826,1,0
0,0,27,0,64105,0,0
0,1,28,1,98964,1,2
0,0,26,0,88027,1,2
0,1,20,1,93634,1,0
1,1,37,1,102456,1,0
0,0,40,1,74975,0,0
0,0,36,1,95438,1,2
1,1,26,1,77519,0,0
0,0,42,1,77933,0,0
0,1,31,1,109892,1,1
0,0,41,1,69062,0,0
0,1,41,1,110199,1,0
0,1,26,1,109890,1,1
0,0,25,0,109751,1,2
0,1,23,1,105137,1,1
0,0,34,1,102617,0,1
0,0,61,2,90709,0,0
0,0,43,1,107099,1,1
0,0,32,0,100426,1,2
1,1,24,1,62249,0,0
1,1,23,1,95003,1,1
0,0,45,1,109698,0,0
0,0,22,0,99328,1,0
0,0,31,0,82238,0,0
0,0,24,0,63987,0,0
0,1,36,1,104953,1,0
1,1,23,1,86488,0,0
1,1,22,1,62381,0,0
0,0,27,0,70926,0,0
0,1,27,1,63597,0,0
0,0,30,0,103069,1,1
0,0,49,1,108079,0,0
1,1,26,1,101159,1,1
0,0,33,1,88211,0,0
1,1,20,1,102623,1,2
0,0,21,0,59127,0,0
0,1,47,2,82240,0,0
1,1,58,2,87058,0,0
1,1,20,1,88141,0,0
1,1,32,1,94058,0,0
1,1,23,1,99285,1,1
0,0,36,1,108432,0,0
1,1,30,1,108838,1,2
1,1,34,1,90852,0,0
0,0,33,1,106015,1,2
0,0,45,1,108378,1,0
1,1,22,1,105257,1,1
1,1,22,1,102000,1,0
0,1,49,2,78296,0,0
0,0,32,0,100215,1,2
1,1,22,1,102480,1,2
0,0,35,1,106919,1,1
0,0,44,1,110009,1,2
0,0,23,0,101210,1,1
1,1,19,1,101258,1,0
1,1,25,1,79045,0,0
0,0,47,1,110866,1,0
1,1,34,1,108549,1,1
1,1,27,1,35832,0,0
0,0,38,1,81870,0,0
0,1,33,1,107158,1,1
0,0,40,1,68475,0,0
0,0,37,1,86967,0,0
0,0,35,1,110442,1,0
0,0,41,1,80232,0,0
0,1,23,1,90051,1,1
1,1,50,2,105031,0,0
0,0,27,0,104773,0,0
0,0,64,2,103941,0,0
1,1,26,1,101783,1,2
0,1,33,1,103577,1,2
0,1,25,1,92366,1,2
1,1,25,1,104794,0,0
0,0,44,1,110374,0,0
0,0,28,0,104263,1,1
0,0,29,0,102723,1,0
1,1,38,1,46297,0,0
0,0,24,0,96425,1,1
1,1,29,1,98008,0,0
1,1,25,1,107614,1,1
0,0,37,1,88849,0,0
1,1,35,1,106515,1,2
0,0,25,0,60868,0,0
1,1,24,1,68028,0,0
1,1,21,1,108518,1,2
0,1,47,2,110190,0,0
1,1,25,1,105104,1,1
0,0,21,0,65827,0,0
